SqFt,Bedrooms,Bathrooms,Price
162,3,2,2652307
239,3,3,3810486
152,4,1,2498335
74,2,1,1241364
166,2,1,2637259
131,5,2,2278576
248,1,2,3841667
80,5,3,1531130
162,4,3,2721972
181,4,3,2986167
270,4,2,4317192
274,4,2,4351062
134,4,3,2298540
262,3,3,4174244
147,2,2,2366545
176,4,3,2931689
159,1,1,2456174
163,1,2,2557925
211,1,3,3322497
190,1,2,2949348
209,3,1,3318714
112,1,2,1808102
61,4,2,1163924
147,5,2,2532098
295,1,2,4539394
217,3,1,3421801
97,3,2,1682614
189,1,2,2931731
251,5,3,4108625
247,1,2,3812337
80,3,3,1455307
220,2,1,3417056
263,4,1,4166516
117,3,1,1916542
81,1,1,1296677
295,4,3,4734081
148,1,2,2337569
108,1,1,1703322
278,2,2,4329065
118,4,3,2057924
229,4,3,3727556
279,2,3,4381962
247,3,1,3893295
267,1,2,4108807
74,5,2,1426432
249,1,2,3842749
249,1,3,3881256
234,3,1,3707080
249,1,3,3856324
110,2,3,1845731
167,2,2,2680909
114,4,3,2003803
123,5,2,2154870
190,1,1,2944578
288,1,2,4416588
110,3,1,1848069
194,2,2,3076790
80,5,3,1545289
132,4,3,2278178
226,2,1,3528710
77,4,1,1380485
191,3,1,3045652
148,3,2,2414748
119,1,2,1896233
73,5,1,1364435
68,4,3,1293709
149,2,2,2405355
112,3,2,1883116
189,1,2,2950470
143,1,1,2244298
151,4,1,2489683
170,3,1,2710504
247,5,1,3998982
258,3,1,4064299
231,4,3,3763016
67,4,3,1298960
234,3,1,3703591
94,4,2,1667312
265,3,1,4172797
140,2,3,2272105
223,3,3,3601395
109,3,2,1847700
163,4,3,2749620
191,4,1,3112678
61,1,2,1025559
193,1,1,2982509
113,2,1,1832860
165,1,2,2576003
63,3,1,1126732
113,4,3,1990826
280,1,1,4290354
250,1,2,3853843
205,2,2,3221190
277,2,2,4312640
103,3,1,1743413
221,4,2,3558330
261,2,2,4074087
249,1,1,3819504
287,4,3,4582114
73,4,1,1318323
154,1,2,2434121
107,2,2,1755975
74,1,1,1181023
259,4,3,4176447
265,5,2,4289933
274,5,2,4423959
249,3,2,3925667
99,1,1,1574703
272,1,2,4179337
267,3,3,4261487
296,3,2,4649129
141,3,2,2336921
170,4,3,2853307
112,1,2,1797355
83,4,1,1492732
213,3,1,3359835
276,1,1,4220159
247,4,3,4013810
183,4,2,3023088
296,3,1,4613216
100,1,3,1655547
216,3,2,3461471
74,1,3,1247308
104,5,1,1847532
124,2,1,2004349
148,2,1,2335713
130,2,3,2124804
68,3,3,1250136
147,5,1,2465009
188,1,3,2959255
295,4,1,4658793
195,1,1,3014548
275,4,2,4402892
122,1,3,1951015
198,5,1,3257712
140,4,1,2344961
195,3,3,3153415
222,1,2,3443833
222,1,2,3424158
92,4,1,1610309
182,3,3,2956970
64,3,2,1156938
293,5,3,4736168
290,3,3,4590384
100,3,1,1678017
87,3,2,1505344
194,2,1,3028702
260,5,2,4190384
131,1,2,2055404
71,4,2,1334189
221,1,2,3417763
92,5,2,1688384
107,4,3,1907606
210,5,1,3419860
121,3,3,2073757
275,4,2,4380106
96,3,1,1623574
158,1,2,2483524
231,1,1,3528636
163,4,3,2725916
273,4,1,4309809
278,5,1,4462201
94,5,1,1683456
252,3,1,3978765
286,4,1,4534816
160,1,2,2507100
234,5,1,3791949
265,5,1,4239544
190,1,3,3007744
60,5,1,1186657
64,3,3,1216187
277,4,2,4402239
201,1,1,3089489
162,4,3,2728538
86,5,3,1642049
196,5,2,3267131
266,1,1,4058427
74,3,1,1294285
149,2,3,2442626
101,1,1,1597928
183,2,3,2934198
264,2,1,4089758
238,3,3,3805254
122,2,1,1941252
155,2,2,2504764
290,3,1,4522173
111,2,1,1812441
155,2,2,2491698
191,2,1,2990781
281,1,2,4318051
288,1,1,4419649
210,1,3,3276949
290,3,3,4578017
296,5,1,4706941
202,2,1,3165934
230,2,1,3583386
88,3,3,1550209
95,2,1,1552715
72,1,3,1228920
219,5,2,3606703
